0 -348 -354
1 1 -11
2 74 71
3 42 37
4 10 17
5 23 27
6 12 10
7 -26 -30
8 14 10
9 16 5
10 -3 0
11 18 12
12 29 25
13 -1 -8
14 7 0
15 -1 0
16 -8 4
17 19 14
18 -7 -3
19 8 4
20 2 6
21 6 -4
22 -4 -2
23 -3 -8
24 -13 -12
25 -12 -4
26 1 2
27 -1 -1
28 0 -2
29 0 2
30 0 3
31 4 1
32 -4 -10
33 0 1
34 -1 -3
35 -4 -2
36 0 3
37 -1 -3
38 -2 1
39 -5 -2
40 -1 -3
41 -2 2
42 -3 0
43 2 -1
44 1 -1
45 -1 -1
46 -2 -2
47 -1 3
48 -5 -4
49 -2 -1
50 -3 -5
51 2 1
52 2 1
53 -2 -1
54 0 0
55 -2 -2
56 -1 -4
57 -2 0
58 -3 0
59 0 0
60 0 0
61 3 -2
62 -3 0
63 0 2
